0	2s	pnpm prisma:generate	.supergoal/deep-product-audit-MxrP9V/preflight/01.log
0	4s	pnpm audit:prod	.supergoal/deep-product-audit-MxrP9V/preflight/02.log
0	3s	pnpm lint	.supergoal/deep-product-audit-MxrP9V/preflight/03.log
1	3s	pnpm format:check	.supergoal/deep-product-audit-MxrP9V/preflight/04.log
0	6s	pnpm typecheck	.supergoal/deep-product-audit-MxrP9V/preflight/05.log
0	5s	pnpm build	.supergoal/deep-product-audit-MxrP9V/preflight/06.log
0	5s	pnpm test	.supergoal/deep-product-audit-MxrP9V/preflight/07.log
0	1s	pnpm audit-economics:defaults	.supergoal/deep-product-audit-MxrP9V/preflight/08.log
1	3s	pnpm exec prisma validate	.supergoal/deep-product-audit-MxrP9V/preflight/09.log
0	2s	pnpm exec vitest run tests/unit/retry.test.ts tests/unit/postgres-workers.test.ts tests/unit/worker-lease-guard.test.ts tests/unit/credits-release.test.ts tests/unit/user-service-race.test.ts tests/integration/credits.service.test.ts	.supergoal/deep-product-audit-MxrP9V/preflight/10.log
0	3s	pnpm exec vitest run tests/unit/telegram-webhook.test.ts tests/unit/analysis-start.test.ts tests/unit/analysis-keyboard.test.ts tests/unit/payments-keyboard.test.ts tests/unit/mini-app-api.test.ts tests/unit/mini-app-auth.test.ts tests/snapshots/messages.test.ts	.supergoal/deep-product-audit-MxrP9V/preflight/11.log
1	2s	pnpm eval-golden	.supergoal/deep-product-audit-MxrP9V/preflight/12.log
0	2s	pnpm exec vitest run tests/unit/report-builder.test.ts tests/unit/report-quality.test.ts tests/unit/content-quality.test.ts tests/unit/analysis-context.test.ts tests/unit/structured-output.test.ts tests/unit/grounding.test.ts tests/unit/openrouter-empty.test.ts tests/unit/practical-requirements.test.ts	.supergoal/deep-product-audit-MxrP9V/preflight/13.log
0	3s	pnpm exec vitest run tests/unit/apify-map.test.ts tests/unit/yookassa-adapter.test.ts tests/unit/invoice-payload.test.ts tests/unit/payment-package-visibility.test.ts tests/unit/photo-search-idempotency.test.ts tests/unit/facecheck.test.ts tests/unit/llm-request.test.ts tests/unit/openrouter-empty.test.ts tests/unit/telegram-rate-limit.test.ts	.supergoal/deep-product-audit-MxrP9V/preflight/14.log
0	2s	pnpm exec vitest run tests/unit/consent-gate.test.ts tests/unit/subscription-gate.test.ts tests/unit/app-ip.test.ts tests/unit/update-dedup.test.ts tests/unit/telegram-rate-limit.test.ts tests/unit/mini-app-auth.test.ts tests/unit/grounding.test.ts tests/unit/usage-safe.test.ts	.supergoal/deep-product-audit-MxrP9V/preflight/15.log
0	2s	pnpm exec vitest run tests/unit/economics.test.ts tests/unit/payment-package-visibility.test.ts tests/unit/background-leader.test.ts tests/unit/job-recovery.test.ts tests/unit/retention.service.test.ts	.supergoal/deep-product-audit-MxrP9V/preflight/16.log
1	11s	pnpm run ci	.supergoal/deep-product-audit-MxrP9V/preflight/17.log
